id	lang	idiom	type	glottocode	feature	value	source	page	exception	comment	contributor
1	Agul			aghu1253	Evidentiality as part of the tense system	attested	maisakmerdanova2002	NA			Samira Verhees
2	Akhvakh			akhv1239	Evidentiality as part of the tense system	attested	creissels2018; magomedbekova1967	170; 107			Samira Verhees
3	Andi			andi1255	Evidentiality as part of the tense system	attested	cercvadze1965; kibrik1985; maisak2017	359; NA; NA		Partially based on personal fieldwork data.	Samira Verhees
4	Archi			arch1244	Evidentiality as part of the tense system	attested	kibrik1977	87–89, 228–244			Samira Verhees
5	Armenian			nucl1235	Evidentiality as part of the tense system	NA	NA	NA			Samira Verhees
6	Avar			avar1256	Evidentiality as part of the tense system	attested	mallaeva2007; forker2018	NA			Samira Verhees
7	Azerbaijani			nort2697	Evidentiality as part of the tense system	attested	shiralievsevortyan1971; johanson2018	NA			Samira Verhees
8	Bagvalal			bagv1239	Evidentiality as part of the tense system	attested	maisaktatevosov2001; maisakchumakina2001 	293–307; 723–724			Samira Verhees
9	Bats			bats1242	Evidentiality as part of the tense system	attested	holiskygagua1994	26–27; 31–32			Samira Verhees
10	Bezhta			bezh1248	Evidentiality as part of the tense system	attested	khalilova2011	NA			Samira Verhees
11	Botlikh			botl1242	Evidentiality as part of the tense system	attested	gudava1962; alexeyevverhees2020	260; NA			Samira Verhees
12	Budukh			budu1248	Evidentiality as part of the tense system	not attested	talibov2007	157–232, 246–248			Samira Verhees
13	Chamalal			cham1309	Evidentiality as part of the tense system	attested	bokarev1949	87–89, 113–114			Samira Verhees
14	Chechen			chec1245	Evidentiality as part of the tense system	attested	molochieva2007; molochieva2010	NA			Samira Verhees
15	Dargwa			darg1241	Evidentiality as part of the tense system	attested	mutalov2002; vandenberg2001; musaev2002	107, 145–150; NA; NA			Samira Verhees
16	Godoberi			ghod1238	Evidentiality as part of the tense system	attested	dobrushinatatevosov1996; haspelmath1996	96–96; 181–186			Samira Verhees
17	Hinuq			hinu1240	Evidentiality as part of the tense system	attested	forker2014; forker2013	NA; 596–599			Samira Verhees
18	Hunzib			hunz1247	Evidentiality as part of the tense system	attested	khalilova2011; vandenberg1995	NA			Samira Verhees
19	Ingush			ingu1240	Evidentiality as part of the tense system	attested	nichols2011	249–250, 254–257, 279			Samira Verhees
21	Karata			kara1474	Evidentiality as part of the tense system	attested	magomedbekova1971	130–131, 173–174			Samira Verhees
22	Khinalug			khin1240	Evidentiality as part of the tense system	not attested	kibriketal1972	178			Samira Verhees
20	Khwarshi			khva1239	Evidentiality as part of the tense system	attested	khalilova2009; khalilova2011	221, 234–239; NA			Samira Verhees
23	Kryz			kryt1240	Evidentiality as part of the tense system	not attested	authier2009	255–257			Samira Verhees
24	Kumyk			kumy1244	Evidentiality as part of the tense system	attested	johanson2018; abdullaevaetal2014	NA			Samira Verhees
25	Lak			lakk1252	Evidentiality as part of the tense system	attested	friedman2007	360–367			Samira Verhees
26	Lezgian			lezg1247	Evidentiality as part of the tense system	not attested	haspelmath1993	122–162			Samira Verhees
27	Nogai			noga1249	Evidentiality as part of the tense system	attested	johanson2018; baskakov1940	NA			Samira Verhees
28	Rutul			rutu1240	Evidentiality as part of the tense system	not attested	alekseev1994; maxmudova2002	230–235, 237; 145–184, 236–243			Samira Verhees
29	Tabasaran			taba1259	Evidentiality as part of the tense system	not attested	magometov1965	189–319, 340–341			Samira Verhees
30	Tindi			tind1238	Evidentiality as part of the tense system	attested	magomedova2003	NA			Samira Verhees
31	Tsakhur			tsak1249	Evidentiality as part of the tense system	attested	maisaktatevosov2007	NA			Samira Verhees
32	Tsez			dido1241	Evidentiality as part of the tense system	attested	khalilova2011	NA			Samira Verhees
33	Udi			udii1243	Evidentiality as part of the tense system	not attested	schulze1982; maisak2016; maisak2018	NA			Samira Verhees
